name,esr_code,settlement_name,latitude,longitude,region
Чинары,524245,Чинары,44.3841666666667,39.1908333333333,
Чиньяворык,285208,Чиньяворык,63.2086111111111,52.67,
Чирки,971216,Чирки,59.0338888888889,50.0025,
Чисмена,197505,Чисмена,56.0188888888889,36.2155555555556,
Чистое (обп),829345,Чистое,55.6177777777778,39.2086111111111,
Чистополье,471211,Чистополье,55.7775,63.6477777777778,
Чистополье,867370,Чистополье,55.7775,63.6477777777778,
Чистые Ключи,772931,Чистые Ключи,55.4783333333333,47.9661111111111,
Чита I,940006,Чита,52.1147222222222,113.436111111111,
Чита II,940010,Чита,52.1147222222222,113.436111111111,
Чихачево,057333,Чихачево,53.4325,91.9702777777778,
Чичатка,951142,Чичатка,54.04,121.299722222222,
Чишмы,651506,Чишмы,54.5894444444444,55.3802777777778,
Чишмы II (рзд),651440,Чишмы,54.5894444444444,55.3802777777778,
Чкалово,688106,Чкалово,54.4066666666667,46.1330555555556,
Чолово,058711,Чолово,58.9580555555556,30.4363888888889,
Чуб,284440,Чуб,62.4622222222222,50.2094444444444,
Чубовка,406706,Чубовка,53.4008333333333,50.5647222222222,
Чуга (обп),827410,Чуга,56.3358333333333,62.485,
Чугунаш (рзд),866043,Чугунаш,52.8744444444444,87.78,
Чулково,263923,Чулково,56.1108333333333,42.5188888888889,
Чульман (рзд),913600,Чульман,56.8713888888889,124.892777777778,
Чумаково,483903,Чумаково,55.6877777777778,79.0533333333333,
Чумаково,899206,Чумаково,55.6877777777778,79.0533333333333,
Чунояр,895402,Чунояр,57.4494444444444,97.3266666666667,
Чупа,014304,Чупа,66.2697222222222,33.0516666666667,
Чупино,792530,Чупино,57.0769444444444,63.9427777777778,
Чур,277004,Чур,45.4102777777778,43.4225,
Чурилово,801104,Чурилово,58.3711111111111,37.6875,
Чутовка (пп),495625,Чутовка,55.9355555555556,84.6852777777778,
Чуфарово,643603,Чуфарово,54.0983333333333,47.3458333333333,
Чухломинский,270109,Чухломинский,58.5516666666667,49.5436111111111,
Чучково,221704,Чучково,59.5980555555556,41.2408333333333,
Шабалино,308306,Шабалино,57.2175,47.6297222222222,
Шабаны,145201,Шабаны,57.4380555555556,28.1663888888889,
Шаблыкино,791740,Шаблыкино,56.0363888888889,36.3180555555556,
Шабуничи,762624,Шабуничи,58.1388888888889,55.6797222222222,
Шавань,011912,Шавань,63.9466666666667,34.2372222222222,
Шадринск,827805,Шадринск,56.1375,63.6363888888889,
Шайковка,187005,Шайковка,54.2341666666667,34.3608333333333,
