Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  417.,Безводная,О,88 Крас (Р),893341,
  418.,Безводный,О,88 Крас (Р),880322,
  419.,Бездрик,О,43 Южн (У),433845,
  420.,Беззубово,О,17 Моск (Р),233311,
  421.,Безлюдовка,О,43 Южн (У),440232,
  422.,Безнег,О,28 Сев (Р),307318,
  423.,Безруковка,О,43 Южн (У),432236,
  424.,Безручки,О,43 Южн (У),447551,
  425.,Безум,О,24 Горьк (Р),275719,
  426.,Бейсужек,О,51 С-Кав (Р),516111,
  427.,Бекасово-Центральное,О,17 Моск (Р),180031,
  428.,Бекешевский,О,51 С-Кав (Р),520422,
  429.,Беланы,О,43 Южн (У),447015,
  430.,Белая,О,35 Льв (У),360714,
  431.,Белая Глина,О,76 Сверд (Р),787212,
  432.,Белая Гора,О,58 Ю-Вост (Р),434513,
  433.,Белецковка,О,43 Южн (У),425340,
  434.,Беливо,О,17 Моск (Р),231814,
  435.,Белин,О,35 Льв (У),386324,
  436.,Белин-Волынский,О,35 Льв (У),354022,
  437.,Белки,О,32 Ю-Зап (У),321122,
  438.,Белобережская,О,17 Моск (Р),200233,
  439.,Беловка,О,88 Крас (Р),881611,
  440.,Беловодье,О,76 Сверд (Р),795149,
  441.,Белогорье,О,32 Ю-Зап (У),340320,
  442.,Белогорье,О,94 Заб (Р),954511,
  443.,Белогруда,О,13 Бел,137542,
  444.,Беломечетская,О,51 С-Кав (Р),530814,
  445.,Белоозерский,О,17 Моск (Р),195020,
  446.,Белопесоцкий,О,17 Моск (Р),191829,
  447.,Белоселье,Б,32 Ю-Зап (У),342746,
  448.,Белосельский,О,13 Бел,163316,
  449.,Белоус,О,32 Ю-Зап (У),324830,
  450.,Белошицы,О,32 Ю-Зап (У),346223,
  451.,Белошкино,О,01 Окт (Р),056716,
  452.,Белоярская Застава,О,76 Сверд (Р),794042,
  453.,Белоярский,О,76 Сверд (Р),793618,
  454.,Белоярский,О,83 З-Сиб (Р),840043,
  455.,Белушкино,О,61 Прив (Р),614117,
  456.,Белые Росы,О,88 Крас (Р),891492,
  457.,Белый Уголь,О,51 С-Кав (Р),532311,
  458.,Бель,О,13 Бел,158233,
  459.,Бельский,О,88 Крас (Р),882239,
  460.,Бельтыры,О ,88 Крас (Р),887228,
  461.,Беляево,О,58 Ю-Вост (Р),591625,
  462.,Белянский,Х,48 Дон (У),505935,
  463.,Бендер III,Б,39 Млд,390673,
  464.,Бениславского,О,13 Бел,161823,
  465.,Беньково,О,35 Льв (У),375245,
  466.,Берда,О,63 Кбш (Р),655942,
  467.,Берданосовка,О,51 С-Кав (Р),513630,
  468.,Берды,О,80 Ю-Ур (Р),811873,
  469.,Береговая,О,40 Од (У),423330,
  470.,Береговая,О,76 Сверд (Р),791010,
  471.,Береговая,О,83 З-Сиб (Р),853217,
  472.,Береговой,О,24 Горьк (Р),273747,
  473.,Береговой,О,80 Ю-Ур (Р),801852,
  474.,Береговой,О,92 В-Сиб (Р),934823,
  475.,Бережа,О,13 Бел,144527,
  476.,Бережанка,О,35 Льв (У),360324,
  477.,Бережки,О,83 З-Сиб (Р),865248,
  478.,Бережок,О,13 Бел,141618,
  479.,Береза Город,О,13 Бел,134116,
  480.,Березановка,О,45 Придн (У),452051,
  481.,Березина,О,13 Бел,141410,
  482.,Березина Речка,О,61 Прив (Р),620739,
  483.,Березинское,О,13 Бел,162633,
  484.,Березка,О,32 Ю-Зап (У),328155,
  485.,Березка,О,92 В-Сиб (Р),927177,
  486.,Березка Грозненская,О,51 С-Кав (Р),541024,
  487.,Березки,О,83 З-Сиб (Р),840626,
  488.,Березки-Дачные,О,01 Окт (Р),060711,
  489.,Березник,О,43 Южн (У),433116,
  490.,Березняк,О,01 Окт (Р),045016,
  491.,Березняки,О,40 Од (У),420031,
  492.,Березняки-Сахалинские,О,96 Д-Вост (Р),991262,
  493.,Березняцкая,О,40 Од (У),420046,
  494.,Березовая,О,10 Клг (Р),103645,
  495.,Березовая,О,88 Крас (Р),888432,
  496.,Березовая Роща,О,13 Бел,130825,
  497.,Березовая Роща,О,58 Ю-Вост (Р),596510,
  498.,Березовая Роща,О,92 В-Сиб (Р),903384,
  499.,Березовая Роща,О,24 Горьк (Р),250726,
  500.,Березовка,О,24 Горьк (Р),251023,
  501.,Березовка,О,88 Крас (Р),892419,
  502.,Березовка-1,О,61 Прив (Р),609246,
  503.,Березовка-2,О,61 Прив (Р),609335,
  504.,Березовое,О,94 Заб (Р),940557,
